Orthomosaic,Train/Test,Mapper,Source,Platform / Provider,Event,Date (mm/dd/yyy),Pre/Post Event,GSD (m/px),Gigapixels Counted,Area (mi^2),BDA: No Damage,BDA: Minor Damage,BDA: Major Damage,BDA: Destroyed,BDA: Un-classified,Total Buildings,ADJ Count
0827-B-02.geo.tif_20200829b_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Harvey,8/29/2020,POST,0.150166693,0.01081,0.081432436,575,0,0,0,22,621,12
090302-Pecan-Grove-Levee.geo.tif_20170830_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Harvey,8/30/2017,POST,0.29999615,0.008997,0.27173691,581,0,0,0,19,623,57
090302-Pecan-Grove-Levee.geo.tif_20170903a_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Harvey,9/3/2017,POST,0.29999615,0.018281,0.551564475,582,0,0,0,15,620,44
090401-DMS-Assessment-Westpark.geo.tif_20170830_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Harvey,8/30/2017,POST,0.29999615,0.001,0.030171495,138,0,0,1,9,159,1
090402-DMS-Assessment-Sienna-Village.geo.tif_20170903a_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Harvey,9/3/2017,POST,0.29999615,0.002608,0.078851113,142,0,0,1,7,159,0
090403-Lancaster-Canyon-Gate.geo.tif_20170830_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Harvey,8/30/2017,POST,0.29999615,0.011327,0.341844239,146,0,0,1,7,159,15
1001-Ft-Myers-Beach-Boone.geo.tif_20220930d_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/30/2022,POST,0.250268012,0.076164362,1.648668132,593,258,29,52,10,942,162
1001-Ft-Myers-Beach-DIRT.geo.tif_20220930d_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/30/2022,POST,0.250268012,0.03760907,0.814259309,363,277,82,210,9,942,104
1001-Harlem-Heights.geo.tif_20220929a_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/29/2022,POST,0.300353516,0.001621434,0.05053434,27,3,1,1,27,59,3
1001-Harlem-Heights.geo.tif_20220930d_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/30/2022,POST,0.250268012,0.015210135,0.329164654,428,351,125,8,63,975,117
1001-Iona-Point.geo.tif_20220929a_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/29/2022,POST,0.300353516,0.021816519,0.67672681,50,14,0,0,44,108,125
1001-Iona-Point.geo.tif_20220930d_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/30/2022,POST,0.250268012,0.002988254,0.064660492,572,100,8,2,26,708,13
1001-Kennedy-Green-Mobile-Homes.geo.tif_20220929a_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/29/2022,POST,0.300353516,0.011631992,0.362568456,310,260,411,17,57,1055,129
1001-Kennedy-Green-Mobile-Homes.geo.tif_20220930d_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/30/2022,POST,0.250268012,0.013264996,0.287079123,348,286,193,15,58,901,43
1001-McGregor-College-Pkwy-South.1.geo.tif_20220929a_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/29/2022,POST,0.300353516,0.011135576,0.346963133,225,84,1,0,29,339,30
1001-McGregor-College-Pkwy-South.1.geo.tif_20220930d_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/30/2022,POST,0.250268012,0.013370423,0.289252464,277,61,2,1,23,364,46
1001-McGregor-College-Pkwy-South.2.geo.tif_20220929a_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/29/2022,POST,0.300353516,0.007449801,0.232118396,202,45,1,1,28,277,36
1001-McGregor-College-Pkwy-South.2.geo.tif_20220930d_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/30/2022,POST,0.250268012,0.010691619,0.231294215,219,36,0,1,25,281,36
1001-McGregor-College-Pkwy-South.3.geo.tif_20220929a_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/29/2022,POST,0.300353516,0.008686856,0.270646949,167,28,0,0,29,224,22
1001-McGregor-College-Pkwy-South.3.geo.tif_20220930d_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/30/2022,POST,0.250268012,0.004571398,0.098859587,27,2,0,0,64,93,13
1001-Palmeto-Palms.geo.tif_20220929a_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/29/2022,POST,0.300353516,0.00717406,0.221804791,340,530,157,12,40,1081,120
1001-Palmeto-Palms.geo.tif_20220930d_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/30/2022,POST,0.250268012,0.014864523,0.319774862,708,771,95,13,55,1642,87
1001-San-Carlos-Island.geo.tif_20220930d_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/30/2022,POST,0.250268012,0.020667369,0.447380373,155,216,101,58,16,546,72
1001-Summerlin-San-Carlos.geo.tif_20220930d_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/30/2022,POST,0.250268012,0.048960847,1.059469013,1619,1001,356,4,70,3050,133
1002-Boca-Grande.1.geo.tif_20220930a_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/30/2022,POST,0.250268012,0.054853168,1.184528675,525,156,30,5,11,727,144
1002-Boca-Grande.1.geo.tif_20221001b_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,10/1/2022,POST,0.250268012,0.014394889,0.310834129,14,5,0,0,29,48,4
1002-Boca-Grande.2.geo.tif_20220930a_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/30/2022,POST,0.250268012,0.013719264,0.29617653,68,27,2,0,3,100,27
1002-Boca-Grande.2.geo.tif_20221001b_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,10/1/2022,POST,0.250268012,0.013719264,0.296177631,68,27,2,0,3,100,18
1002-Boca-Grande.3.geo.tif_20220930a_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/30/2022,POST,0.250268012,0.016081003,0.347212687,108,35,8,0,5,156,30
1002-Boca-Grande.3.geo.tif_20221001b_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,10/1/2022,POST,0.250268012,0.010273195,0.221804498,53,16,5,0,10,84,19
1002-Boca-Grande.4.geo.tif_20220930a_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/30/2022,POST,0.250268012,0.029874745,0.645248766,194,43,14,1,2,254,72
1002-Boca-Grande.5.geo.tif_20220930a_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/30/2022,POST,0.250268012,0.033009517,0.712502299,181,62,13,0,3,259,88
1002-Boca-Grande.5.geo.tif_20220930d_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/30/2022,POST,0.250268012,0.020106309,0.433975697,95,29,10,0,1,135,83
1002-Boca-Grande.5.geo.tif_20221001b_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,10/1/2022,POST,0.250268012,0.033009517,0.712507868,186,56,14,0,3,259,70
1002-Boca-Grande.6.geo.tif_20220930a_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/30/2022,POST,0.250268012,0.020813276,0.449402847,82,26,5,0,6,119,37
1002-Boca-Grande.6.geo.tif_20221001b_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,10/1/2022,POST,0.250268012,0.020369122,0.439808053,76,25,2,0,1,104,44
1002-Ft-Myers-Beach-LCSO.geo.tif_20220930d_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/30/2022,POST,0.250268012,0.028193824,0.60969839,262,286,54,191,12,805,27
1002-Ft-Myers-Beach-TFD.geo.tif_20220930d_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/30/2022,POST,0.250268012,0.022260791,0.480774017,341,210,75,147,9,782,136
1002-Kelly-Road.geo.tif_20220929a_RGB.geo.tif,Train,N/A,Crewed Aircraft,NOAA,Hurricane Ian,9/29/2022,POST,0.300353516,0.002971305,0.092607278,105,54,7,1,7,174,20
